filename,sentence,labels,abstract,heading
Penerapan Algoritma C4.5 Untuk Penentuan Jurusan Mahasiswa.txt,"Banyak kasus dijumpai bahwa pemilihan jurusan yang tidak sesuai dengan kemampuan, kepribadian, minat dan bakat dapat mempengaruhi mahasiswadalam mengikuti perkuliahan.",BACKGROUND,1,Abstrak
Penerapan Algoritma C4.5 Untuk Penentuan Jurusan Mahasiswa.txt,"Penggunaan pendekatan algoritma klasifikasi data mining akan diterapkan untuk menentukan jurusan dalam bidang studi yang akan diambil oleh mahasiswa, sehingga mahasiswa tidak salah dalam memilih jurusan yang akan di tempuh selama belajar pada perguruan tinggi.",TOPIC,1,Abstrak
Penerapan Algoritma C4.5 Untuk Penentuan Jurusan Mahasiswa.txt,"Algoritma C4.5 digunakan untuk menentukan jurusan yang akan diambil oleh mahasiswa sesuai dengan latar belakang, minat dan kemampuannya sendiri.",METHOD,1,Abstrak
Penerapan Algoritma C4.5 Untuk Penentuan Jurusan Mahasiswa.txt,Parameter pemilihan jurusan adalah Indeks Prestasi Kumulatif Semester 1 dan 2 .,METHOD,1,Abstrak
Penerapan Algoritma C4.5 Untuk Penentuan Jurusan Mahasiswa.txt,"Hasil eksperimen dan evaluasi menunjukan bahwa Algoritma Decision Tree C4.5 akurat diterapkan untuk penentuan kesesuaian jurusan mahasiswa dengan tingkat akurasi 93,31%dan akurasi rekomendasi jurusan sebesar 82,64%.",RESULT,1,Abstrak
Penerapan Algoritma C4.5 Untuk Penentuan Jurusan Mahasiswa.txt,"Kecenderungan yang terjadi saat ini, banyak siswa kelas XII yang tidak tahu minatnya dan bakatnya serta akan memilih jurusan apa selepas SMU nanti [1].",OTHERS,0,I. PENDAHULUAN
Penerapan Algoritma C4.5 Untuk Penentuan Jurusan Mahasiswa.txt,"Akibat yang buruk terjadi setelah itu, yaitu keengganan belajar dan menurunnya kualitas serta prestasi akademik karena siswa merasa salah dalam memilih jurusan [2].",OTHERS,0,I. PENDAHULUAN
Penerapan Algoritma C4.5 Untuk Penentuan Jurusan Mahasiswa.txt,"Banyak kasus dijumpai bahwa pemilihan jurusan yang tidak sesuai dengan kemampuan, kepribadian, minat dan bakat dapat mempengaruhi mahasiswa dalam mengikuti perkuliahan.",BACKGROUND,1,I. PENDAHULUAN
Penerapan Algoritma C4.5 Untuk Penentuan Jurusan Mahasiswa.txt,"Dalam beberapa penelitian psikologi pendidikan, minat dan bakat siswa diketahui cukup terkait dengan prestasi akademiknya [3].",OTHERS,0,I. PENDAHULUAN
Penerapan Algoritma C4.5 Untuk Penentuan Jurusan Mahasiswa.txt,"Sementara itu, data mining adalah proses yang menggunakan statistik, matematika, kecerdasan buatan, dan machine learning untuk mengekstraksi dan mengidentifikasi informasi yang bermanfaat dan pengetahuan yang terkait dari berbagai database besar [4].",OTHERS,0,I. PENDAHULUAN
Penerapan Algoritma C4.5 Untuk Penentuan Jurusan Mahasiswa.txt,"Data mining disisi lain adalah kegiatan meliputi pengumpulan, pemakaian data historis untuk menemukan keteraturan, pola atau hubungan dalam set data berukuran besar.",OTHERS,0,I. PENDAHULUAN
Penerapan Algoritma C4.5 Untuk Penentuan Jurusan Mahasiswa.txt,Keluaran dari data mining ini bisa dipakai untuk memperbaiki pengambilan keputusan di masa depan.,OTHERS,0,I. PENDAHULUAN
